z,th,score,pass
650,-3,0,0
650,-2.9,0,0
650,-2.8,0,0
650,-2.7,92.0878686339418,1
650,-2.6,91.2848844627965,1
650,-2.5,92.4542275048721,1
650,2.5,93.7074422332322,1
650,2.6,93.0514094536685,1
650,2.7,0,0
650,2.8,0,0
650,2.9,0,0
650,3,0,0
800,-3,0,0
800,-2.9,0,0
800,-2.8,0,0
800,-2.7,0,0
800,-2.6,92.8376764289017,1
800,-2.5,93.3529993621586,1
800,2.5,93.8038107937763,1
800,2.6,93.5022727581678,1
800,2.7,93.1831749643644,1
800,2.8,91.5327037002083,1
800,2.9,0,0
800,3,0,0
900,-3,0,0
900,-2.9,41.737373271383,1
900,-2.8,0,0
900,-2.7,0,0
900,-2.6,91.9868575058204,1
900,-2.5,93.3788489754025,1
900,2.5,93.7506953024976,1
900,2.6,93.5024620643082,1
900,2.7,92.5528208933458,1
900,2.8,0,0
900,2.9,0,0
900,3,0,0
1000,-3,0,0
1000,-2.9,0,0
1000,-2.8,0,0
1000,-2.7,0,0
1000,-2.6,91.1800894818947,1
1000,-2.5,93.0959855942732,1
1000,2.5,93.5457115732956,1
1000,2.6,93.3833559136077,1
1000,2.7,91.9394277061853,1
1000,2.8,0,0
1000,2.9,0,0
1000,3,56.2902385837629,1
1200,-3,0,0
1200,-2.9,0,0
1200,-2.8,0,0
1200,-2.7,0,0
1200,-2.6,89.4730513231594,1
1200,-2.5,92.2456448039967,1
1200,-2.4,91.9276708636952,1
1200,-2.3,91.5940830244633,1
1200,-2.2,91.8512582648847,1
1200,-2.1,91.9926879843557,1
1200,-2,90.8895049538883,1
1200,-1.9,91.795195157021,1
1200,-0.0999999999999996,88.9306722839755,1
1200,0,89.4432458109736,1
1200,0.0999999999999996,88.9306722839755,1
1200,1.9,84.3350415788713,1
1200,2,92.3785735431335,1
1200,2.1,0,0
1200,2.2,93.0849363395527,1
1200,2.3,0,0
1200,2.4,92.3565702279779,1
1200,2.5,91.794872967779,1
1200,2.6,92.1098262913719,1
1200,2.7,90.6707622042893,1
1200,2.8,86.82822997098,1
1200,2.9,0,0
1200,3,0,0
1500,-3,0,0
1500,-2.9,0,0
1500,-2.8,0,0
1500,-2.7,0,0
1500,-2.6,87.0424295349652,1
1500,-2.5,90.5660253659875,1
1500,-2.4,90.8873772652908,1
1500,-2.3,91.2838465382692,1
1500,-2.2,91.4879563160387,1
1500,-2.1,91.8923803611018,1
1500,-2,90.2524620053871,1
1500,-1.9,91.7387797628294,1
1500,-0.0999999999999996,88.2657656612177,1
1500,0,89.2634134365595,1
1500,0.0999999999999996,88.2657656612177,1
1500,1.9,0,0
1500,2,91.8703513105753,1
1500,2.1,0,0
1500,2.2,92.3831241367096,1
1500,2.3,0,0
1500,2.4,91.846456786202,1
1500,2.5,91.6622555829847,1
1500,2.6,90.908599775696,1
1500,2.7,89.9917456717535,1
1500,2.8,0,0
1500,2.9,0,0
1500,3,0,0
